trip_id, arrival_time, departure_time, stop_id, stop_sequence, trip_index
T1_1, 07:25:00, 07:25:00, 19, 1, 1
T1_1, , , 16, 2, 1
T1_1, , , 14, 3, 1
T1_1, , , 12, 4, 1
T1_1, , , 11, 5, 1
T1_1, , , 9, 6, 1
T1_1, , , 8, 7, 1
T1_1, , , 7, 8, 1
T1_1, , , 4, 9, 1
T1_1, , , 1, 10, 1
T1_1, , , 28, 11, 1
T1_1, , , 27, 12, 1
T1_1, , , 25, 13, 1
T1_1, , , 24, 14, 1
T1_1, , , 21, 15, 1
T1_1, 07:45:00, 07:45:00, 19, 16, 1
T1_2, 07:35:00, 07:35:00, 19, 1, 2
T1_2, , , 16, 2, 2
T1_2, , , 14, 3, 2
T1_2, , , 12, 4, 2
T1_2, , , 11, 5, 2
T1_2, , , 9, 6, 2
T1_2, , , 8, 7, 2
T1_2, , , 7, 8, 2
T1_2, , , 4, 9, 2
T1_2, , , 1, 10, 2
T1_2, , , 28, 11, 2
T1_2, , , 27, 12, 2
T1_2, , , 25, 13, 2
T1_2, , , 24, 14, 2
T1_2, , , 21, 15, 2
T1_2, 07:55:00, 07:55:00, 19, 16, 2
T1_3, 07:45:00, 07:45:00, 19, 1, 3
T1_3, , , 16, 2, 3
T1_3, , , 14, 3, 3
T1_3, , , 12, 4, 3
T1_3, , , 11, 5, 3
T1_3, , , 9, 6, 3
T1_3, , , 8, 7, 3
T1_3, , , 7, 8, 3
T1_3, , , 4, 9, 3
T1_3, , , 1, 10, 3
T1_3, , , 28, 11, 3
T1_3, , , 27, 12, 3
T1_3, , , 25, 13, 3
T1_3, , , 24, 14, 3
T1_3, , , 21, 15, 3
T1_3, 08:05:00, 08:05:00, 19, 16, 3
T1_4, 07:55:00, 07:55:00, 19, 1, 4
T1_4, , , 16, 2, 4
T1_4, , , 14, 3, 4
T1_4, , , 12, 4, 4
T1_4, , , 11, 5, 4
T1_4, , , 9, 6, 4
T1_4, , , 8, 7, 4
T1_4, , , 7, 8, 4
T1_4, , , 4, 9, 4
T1_4, , , 1, 10, 4
T1_4, , , 28, 11, 4
T1_4, , , 27, 12, 4
T1_4, , , 25, 13, 4
T1_4, , , 24, 14, 4
T1_4, , , 21, 15, 4
T1_4, 08:15:00, 08:15:00, 19, 16, 4
T1_5, 08:10:00, 08:10:00, 19, 1, 5
T1_5, , , 16, 2, 5
T1_5, , , 14, 3, 5
T1_5, , , 12, 4, 5
T1_5, , , 11, 5, 5
T1_5, , , 9, 6, 5
T1_5, , , 8, 7, 5
T1_5, , , 7, 8, 5
T1_5, , , 4, 9, 5
T1_5, , , 1, 10, 5
T1_5, , , 28, 11, 5
T1_5, , , 27, 12, 5
T1_5, , , 25, 13, 5
T1_5, , , 24, 14, 5
T1_5, , , 21, 15, 5
T1_5, 08:30:00, 08:30:00, 19, 16, 5
T1_6, 08:20:00, 08:20:00, 19, 1, 6
T1_6, , , 16, 2, 6
T1_6, , , 14, 3, 6
T1_6, , , 12, 4, 6
T1_6, , , 11, 5, 6
T1_6, , , 9, 6, 6
T1_6, , , 8, 7, 6
T1_6, , , 7, 8, 6
T1_6, , , 4, 9, 6
T1_6, , , 1, 10, 6
T1_6, , , 28, 11, 6
T1_6, , , 27, 12, 6
T1_6, , , 25, 13, 6
T1_6, , , 24, 14, 6
T1_6, , , 21, 15, 6
T1_6, 08:40:00, 08:40:00, 19, 16, 6
T1_7, 08:30:00, 08:30:00, 19, 1, 7
T1_7, , , 16, 2, 7
T1_7, , , 14, 3, 7
T1_7, , , 12, 4, 7
T1_7, , , 11, 5, 7
T1_7, , , 9, 6, 7
T1_7, , , 8, 7, 7
T1_7, , , 7, 8, 7
T1_7, , , 4, 9, 7
T1_7, , , 1, 10, 7
T1_7, , , 28, 11, 7
T1_7, , , 27, 12, 7
T1_7, , , 25, 13, 7
T1_7, , , 24, 14, 7
T1_7, , , 21, 15, 7
T1_7, 08:50:00, 08:50:00, 19, 16, 7
T1_8, 08:40:00, 08:40:00, 19, 1, 8
T1_8, , , 16, 2, 8
T1_8, , , 14, 3, 8
T1_8, , , 12, 4, 8
T1_8, , , 11, 5, 8
T1_8, , , 9, 6, 8
T1_8, , , 8, 7, 8
T1_8, , , 7, 8, 8
T1_8, , , 4, 9, 8
T1_8, , , 1, 10, 8
T1_8, , , 28, 11, 8
T1_8, , , 27, 12, 8
T1_8, , , 25, 13, 8
T1_8, , , 24, 14, 8
T1_8, , , 21, 15, 8
T1_8, 09:00:00, 09:00:00, 19, 16, 8
T1_9, 08:50:00, 08:50:00, 19, 1, 9
T1_9, , , 16, 2, 9
T1_9, , , 14, 3, 9
T1_9, , , 12, 4, 9
T1_9, , , 11, 5, 9
T1_9, , , 9, 6, 9
T1_9, , , 8, 7, 9
T1_9, , , 7, 8, 9
T1_9, , , 4, 9, 9
T1_9, , , 1, 10, 9
T1_9, , , 28, 11, 9
