route_id,service_id,trip_id
R1, 2017SpringWDMonThur, T1_1
R1, 2017SpringWDMonThur, T1_2
R1, 2017SpringWDMonThur, T1_3
R1, 2017SpringWDMonThur, T1_4
R1, 2017SpringWDMonThur, T1_5
R1, 2017SpringWDMonThur, T1_6
R1, 2017SpringWDMonThur, T1_7
R1, 2017SpringWDMonThur, T1_8
R1, 2017SpringWDMonThur, T1_9
R1, 2017SpringWDMonThur, T1_10
R1, 2017SpringWDMonThur, T1_11
R1, 2017SpringWDMonThur, T1_12
R1, 2017SpringWDMonThur, T1_13
R1, 2017SpringWDMonThur, T1_14
R1, 2017SpringWDMonThur, T1_15
R1, 2017SpringWDMonThur, T1_16
R1, 2017SpringWDMonThur, T1_17
R1, 2017SpringWDMonThur, T1_18
R1, 2017SpringWDMonThur, T1_19
R1, 2017SpringWDMonThur, T1_20
R1, 2017SpringWDMonThur, T1_21
R1, 2017SpringWDMonThur, T1_22
R1, 2017SpringWDMonThur, T1_23
R1, 2017SpringWDMonThur, T1_24
R1, 2017SpringWDMonThur, T1_25
R1, 2017SpringWDMonThur, T1_26
R1, 2017SpringWDMonThur, T1_27
R1, 2017SpringWDMonThur, T1_28
R1, 2017SpringWDMonThur, T1_29
R1, 2017SpringWDMonThur, T1_30
R1, 2017SpringWDMonThur, T1_31
R1, 2017SpringWDMonThur, T1_32
R1, 2017SpringWDMonThur, T1_33
R1, 2017SpringWDMonThur, T1_34
R1, 2017SpringWDMonThur, T1_35
R1, 2017SpringWDMonThur, T1_36
R1, 2017SpringWDMonThur, T1_37
R1, 2017SpringWDMonThur, T1_38
R1, 2017SpringWDMonThur, T1_39
R1, 2017SpringWDMonThur, T1_40
R1, 2017SpringWDMonThur, T1_41
R1, 2017SpringWDMonThur, T1_42
R1, 2017SpringWDMonThur, T1_43
R1, 2017SpringWDMonThur, T1_44
R1, 2017SpringWDMonThur, T1_45
R1, 2017SpringWDMonThur, T1_46
R1, 2017SpringWDMonThur, T1_47
R1, 2017SpringWDMonThur, T1_48
R1, 2017SpringWDMonThur, T1_49
R1, 2017SpringWDMonThur, T1_50
R1, 2017SpringWDMonThur, T1_51
R1, 2017SpringWDMonThur, T1_52
R1, 2017SpringWDMonThur, T1_53
R1, 2017SpringWDMonThur, T1_54
R1, 2017SpringWDMonThur, T1_55
R1, 2017SpringWDMonThur, T1_56
R1, 2017SpringWDMonThur, T1_57
R1, 2017SpringWDMonThur, T1_58
R1, 2017SpringWDMonThur, T1_59
R1, 2017SpringWDMonThur, T1_60
R1, 2017SpringWDMonThur, T1_61
R1, 2017SpringWDMonThur, T1_62
R1, 2017SpringWDMonThur, T1_63
R1, 2017SpringWDMonThur, T1_64
R1, 2017SpringWDMonThur, T1_65
R1, 2017SpringWDMonThur, T1_66
R1, 2017SpringWDMonThur, T1_67
R1, 2017SpringWDMonThur, T1_68
R1, 2017SpringWDMonThur, T1_69
R1, 2017SpringWDMonThur, T1_70
R1, 2017SpringWDMonThur, T1_71
R1, 2017SpringWDMonThur, T1_72
R1, 2017SpringWDMonThur, T1_73
R1, 2017SpringWDMonThur, T1_74
R1, 2017SpringWDMonThur, T1_75
R1, 2017SpringWDMonThur, T1_76
R1, 2017SpringWDMonThur, T1_77
R1, 2017SpringWDMonThur, T1_78
R1, 2017SpringWDMonThur, T1_79
R1, 2017SpringWDMonThur, T1_80
R1, 2017SpringWDMonThur, T1_81
R1, 2017SpringWDMonThur, T1_82
R1, 2017SpringWDMonThur, T1_83
R1, 2017SpringWDMonThur, T1_84
R1, 2017SpringWDMonThur, T1_85
R1, 2017SpringWDMonThur, T1_86
R1, 2017SpringWDMonThur, T1_87
R1, 2017SpringWDMonThur, T1_88
R1, 2017SpringWDMonThur, T1_89
R1, 2017SpringWDMonThur, T1_90
R1, 2017SpringWDMonThur, T1_91
R1, 2017SpringWDMonThur, T1_92
R1, 2017SpringWDMonThur, T1_93
R1, 2017SpringWDFriday, T1_94
R1, 2017SpringWDFriday, T1_95
R1, 2017SpringWDFriday, T1_96
R1, 2017SpringWDFriday, T1_97
R1, 2017SpringWDFriday, T1_98
R1, 2017SpringWDFriday, T1_99
R1, 2017SpringWDFriday, T1_100
R1, 2017SpringWDFriday, T1_101
R1, 2017SpringWDFriday, T1_102
R1, 2017SpringWDFriday, T1_103
R1, 2017SpringWDFriday, T1_104
R1, 2017SpringWDFriday, T1_105
R1, 2017SpringWDFriday, T1_106
R1, 2017SpringWDFriday, T1_107
R1, 2017SpringWDFriday, T1_108
R1, 2017SpringWDFriday, T1_109
R1, 2017SpringWDFriday, T1_110
R1, 2017SpringWDFriday, T1_111
R1, 2017SpringWDFriday, T1_112
R1, 2017SpringWDFriday, T1_113
R1, 2017SpringWDFriday, T1_114
R1, 2017SpringWDFriday, T1_115
R1, 2017SpringWDFriday, T1_116
R1, 2017SpringWDFriday, T1_117
R1, 2017SpringWDFriday, T1_118
R1, 2017SpringWDFriday, T1_119
R1, 2017SpringWDFriday, T1_120
R1, 2017SpringWDFriday, T1_121
R1, 2017SpringWDFriday, T1_122
R1, 2017SpringWDFriday, T1_123
R1, 2017SpringWDFriday, T1_124
R1, 2017SpringWDFriday, T1_125
R1, 2017SpringWDFriday, T1_126
R1, 2017SpringWDFriday, T1_127
R1, 2017SpringWDFriday, T1_128
R1, 2017SpringWDFriday, T1_129
R1, 2017SpringWDFriday, T1_130
R1, 2017SpringWDFriday, T1_131
R1, 2017SpringWDFriday, T1_132
R1, 2017SpringWDFriday, T1_133
R1, 2017SpringWDFriday, T1_134
R1, 2017SpringWDFriday, T1_135
R1, 2017SpringWDFriday, T1_136
R1, 2017SpringWDFriday, T1_137
R1, 2017SpringWDFriday, T1_138
R1, 2017SpringWDFriday, T1_139
R1, 2017SpringWDFriday, T1_140
R1, 2017SpringWDFriday, T1_141
R1, 2017SpringWDFriday, T1_142
R1, 2017SpringWDFriday, T1_143
R1, 2017SpringWDFriday, T1_144
R1, 2017SpringWDFriday, T1_145
R1, 2017SpringWDFriday, T1_146
R1, 2017SpringWDFriday, T1_147
R1, 2017SpringWDFriday, T1_148
R1, 2017SpringWDFriday, T1_149
R1, 2017SpringWDFriday, T1_150
R1, 2017SpringWDFriday, T1_151
R1, 2017SpringWDFriday, T1_152
R1, 2017SpringWDFriday, T1_153
R1, 2017SpringWDFriday, T1_154
R1, 2017SpringWDFriday, T1_155
R1, 2017SpringWDFriday, T1_156
R1, 2017SpringWDFriday, T1_157
R1, 2017SpringWDFriday, T1_158
R1, 2017SpringWDFriday, T1_159
R1, 2017SpringWDFriday, T1_160
R1, 2017SpringWDFriday, T1_161
R1, 2017SpringWDFriday, T1_162
R1, 2017SpringWDFriday, T1_163
R1, 2017SpringWDFriday, T1_164
R1, 2017SpringWDFriday, T1_165
R1, 2017SpringWDFriday, T1_166
R1, 2017SpringWDFriday, T1_167
R1, 2017SpringWDFriday, T1_168
R1, 2017SpringWDFriday, T1_169
R1, 2017SpringWDFriday, T1_170
R1, 2017SpringWDFriday, T1_171
R1, 2017SpringWDFriday, T1_172
R1, 2017SpringWDFriday, T1_173
R1, 2017SpringWDFriday, T1_174
R1, 2017SpringWDFriday, T1_175
R1, 2017SpringWESat, T1_176
R1, 2017SpringWESat, T1_177
R1, 2017SpringWESat, T1_178
R1, 2017SpringWESat, T1_179
R1, 2017SpringWESat, T1_180
R1, 2017SpringWESat, T1_181
R1, 2017SpringWESat, T1_182
R1, 2017SpringWESat, T1_183
R1, 2017SpringWESat, T1_184
R1, 2017SpringWESat, T1_185
R1, 2017SpringWESat, T1_186
R1, 2017SpringWESat, T1_187
R1, 2017SpringWESat, T1_188
R1, 2017SpringWESat, T1_189
R1, 2017SpringWESun, T1_190
R1, 2017SpringWESun, T1_191
R1, 2017SpringWESun, T1_192
R1, 2017SpringWESun, T1_193
R1, 2017SpringWESun, T1_194
R1, 2017SpringWESun, T1_195
R1, 2017SpringWESun, T1_196
R1, 2017SpringWESun, T1_197
R1, 2017SpringWESun, T1_198
R1, 2017SpringWESun, T1_199
R1, 2017SpringWESun, T1_200
R1, 2017SpringWESun, T1_201
R1, 2017SpringWESun, T1_202
R1, 2017SpringWESun, T1_203
R1, 2017SpringWESun, T1_204
R1, 2017SpringWESun, T1_205
R1, 2017SpringWESun, T1_206
R2, 2017SpringWDMonThur, T2_1
R2, 2017SpringWDMonThur, T2_2
R2, 2017SpringWDMonThur, T2_3
R2, 2017SpringWDMonThur, T2_4
R2, 2017SpringWDMonThur, T2_5
R2, 2017SpringWDMonThur, T2_6
R2, 2017SpringWDMonThur, T2_7
R2, 2017SpringWDMonThur, T2_8
R2, 2017SpringWDMonThur, T2_9
R2, 2017SpringWDMonThur, T2_10
R2, 2017SpringWDMonThur, T2_11
R2, 2017SpringWDMonThur, T2_12
R2, 2017SpringWDMonThur, T2_13
R2, 2017SpringWDMonThur, T2_14
R2, 2017SpringWDMonThur, T2_15
R2, 2017SpringWDMonThur, T2_16
R2, 2017SpringWDMonThur, T2_17
R2, 2017SpringWDMonThur, T2_18
R2, 2017SpringWDMonThur, T2_19
R2, 2017SpringWDMonThur, T2_20
R2, 2017SpringWDMonThur, T2_21
R2, 2017SpringWDMonThur, T2_22
R2, 2017SpringWDMonThur, T2_23
R2, 2017SpringWDMonThur, T2_24
R2, 2017SpringWDMonThur, T2_25
R2, 2017SpringWDMonThur, T2_26
R2, 2017SpringWDMonThur, T2_27
R2, 2017SpringWDMonThur, T2_28
R2, 2017SpringWDMonThur, T2_29
R2, 2017SpringWDMonThur, T2_30
R2, 2017SpringWDMonThur, T2_31
R2, 2017SpringWDMonThur, T2_32
R2, 2017SpringWDMonThur, T2_33
R2, 2017SpringWDMonThur, T2_34
R2, 2017SpringWDMonThur, T2_35
R2, 2017SpringWDMonThur, T2_36
R2, 2017SpringWDMonThur, T2_37
R2, 2017SpringWDMonThur, T2_38
R2, 2017SpringWDMonThur, T2_39
R2, 2017SpringWDMonThur, T2_40
R2, 2017SpringWDMonThur, T2_41
R2, 2017SpringWDMonThur, T2_42
R2, 2017SpringWDMonThur, T2_43
R2, 2017SpringWDMonThur, T2_44
R2, 2017SpringWDMonThur, T2_45
R2, 2017SpringWDMonThur, T2_46
R2, 2017SpringWDMonThur, T2_47
R2, 2017SpringWDMonThur, T2_48
R2, 2017SpringWDMonThur, T2_49
R2, 2017SpringWDMonThur, T2_50
R2, 2017SpringWDMonThur, T2_51
R2, 2017SpringWDMonThur, T2_52
R2, 2017SpringWDMonThur, T2_53
R2, 2017SpringWDMonThur, T2_54
R2, 2017SpringWDMonThur, T2_55
R2, 2017SpringWDMonThur, T2_56
R2, 2017SpringWDMonThur, T2_57
R2, 2017SpringWDMonThur, T2_58
R2, 2017SpringWDMonThur, T2_59
R2, 2017SpringWDMonThur, T2_60
R2, 2017SpringWDMonThur, T2_61
R2, 2017SpringWDMonThur, T2_62
R2, 2017SpringWDMonThur, T2_63
R2, 2017SpringWDMonThur, T2_64
R2, 2017SpringWDMonThur, T2_65
R2, 2017SpringWDMonThur, T2_66
R2, 2017SpringWDMonThur, T2_67
R2, 2017SpringWDMonThur, T2_68
R2, 2017SpringWDMonThur, T2_69
R2, 2017SpringWDMonThur, T2_70
R2, 2017SpringWDMonThur, T2_71
R2, 2017SpringWDMonThur, T2_72
R2, 2017SpringWDMonThur, T2_73
R2, 2017SpringWDMonThur, T2_74
R2, 2017SpringWDMonThur, T2_75
R2, 2017SpringWDMonThur, T2_76
R2, 2017SpringWDMonThur, T2_77
R2, 2017SpringWDMonThur, T2_78
R2, 2017SpringWDMonThur, T2_79
R2, 2017SpringWDMonThur, T2_80
R2, 2017SpringWDMonThur, T2_81
R2, 2017SpringWDMonThur, T2_82
R2, 2017SpringWDMonThur, T2_83
R2, 2017SpringWDMonThur, T2_84
