trip_id, arrival_time, departure_time, stop_id, stop_sequence
T1_1, 07:25:00, 07:25:00, 19, 1
T1_1, 07:26:00, 07:26:00, 16, 2
T1_1, 07:27:00, 07:27:00, 14, 3
T1_1, 07:29:00, 07:29:00, 12, 4
T1_1, 07:30:00, 07:30:00, 11, 5
T1_1, 07:31:00, 07:31:00, 9, 6
T1_1, 07:33:00, 07:33:00, 8, 7
T1_1, 07:34:00, 07:34:00, 7, 8
T1_1, 07:36:00, 07:36:00, 4, 9
T1_1, 07:37:00, 07:37:00, 1, 10
T1_1, 07:39:00, 07:39:00, 28, 11
T1_1, 07:40:00, 07:40:00, 27, 12
T1_1, 07:41:00, 07:41:00, 26, 13
T1_1, 07:43:00, 07:43:00, 24, 14
T1_1, 07:43:00, 07:43:00, 18, 15
T1_1, 07:45:00, 07:45:00, 19, 16
T1_2, 07:35:00, 07:35:00, 19, 1
T1_2, 07:36:00, 07:36:00, 16, 2
T1_2, 07:37:00, 07:37:00, 14, 3
T1_2, 07:39:00, 07:39:00, 12, 4
T1_2, 07:40:00, 07:40:00, 11, 5
T1_2, 07:41:00, 07:41:00, 9, 6
T1_2, 07:43:00, 07:43:00, 8, 7
T1_2, 07:44:00, 07:44:00, 7, 8
T1_2, 07:46:00, 07:46:00, 4, 9
T1_2, 07:47:00, 07:47:00, 1, 10
T1_2, 07:49:00, 07:49:00, 28, 11
T1_2, 07:50:00, 07:50:00, 27, 12
T1_2, 07:51:00, 07:51:00, 26, 13
T1_2, 07:53:00, 07:53:00, 24, 14
T1_2, 07:53:00, 07:53:00, 18, 15
T1_2, 07:55:00, 07:55:00, 19, 16
T1_3, 07:45:00, 07:45:00, 19, 1
T1_3, 07:46:00, 07:46:00, 16, 2
T1_3, 07:47:00, 07:47:00, 14, 3
T1_3, 07:49:00, 07:49:00, 12, 4
T1_3, 07:50:00, 07:50:00, 11, 5
T1_3, 07:51:00, 07:51:00, 9, 6
T1_3, 07:53:00, 07:53:00, 8, 7
T1_3, 07:54:00, 07:54:00, 7, 8
T1_3, 07:56:00, 07:56:00, 4, 9
T1_3, 07:57:00, 07:57:00, 1, 10
T1_3, 07:59:00, 07:59:00, 28, 11
T1_3, 08:00:00, 08:00:00, 27, 12
T1_3, 08:01:00, 08:01:00, 26, 13
T1_3, 08:03:00, 08:03:00, 24, 14
T1_3, 08:03:00, 08:03:00, 18, 15
T1_3, 08:05:00, 08:05:00, 19, 16
T1_4, 07:55:00, 07:55:00, 19, 1
T1_4, 07:56:00, 07:56:00, 16, 2
T1_4, 07:57:00, 07:57:00, 14, 3
T1_4, 07:59:00, 07:59:00, 12, 4
T1_4, 08:00:00, 08:00:00, 11, 5
T1_4, 08:01:00, 08:01:00, 9, 6
T1_4, 08:03:00, 08:03:00, 8, 7
T1_4, 08:04:00, 08:04:00, 7, 8
T1_4, 08:06:00, 08:06:00, 4, 9
T1_4, 08:07:00, 08:07:00, 1, 10
T1_4, 08:09:00, 08:09:00, 28, 11
T1_4, 08:10:00, 08:10:00, 27, 12
T1_4, 08:11:00, 08:11:00, 26, 13
T1_4, 08:13:00, 08:13:00, 24, 14
T1_4, 08:13:00, 08:13:00, 18, 15
T1_4, 08:15:00, 08:15:00, 19, 16
T1_5, 08:10:00, 08:10:00, 19, 1
T1_5, 08:11:00, 08:11:00, 16, 2
T1_5, 08:12:00, 08:12:00, 14, 3
T1_5, 08:14:00, 08:14:00, 12, 4
T1_5, 08:15:00, 08:15:00, 11, 5
T1_5, 08:16:00, 08:16:00, 9, 6
T1_5, 08:18:00, 08:18:00, 8, 7
T1_5, 08:19:00, 08:19:00, 7, 8
T1_5, 08:21:00, 08:21:00, 4, 9
T1_5, 08:22:00, 08:22:00, 1, 10
T1_5, 08:24:00, 08:24:00, 28, 11
T1_5, 08:25:00, 08:25:00, 27, 12
T1_5, 08:26:00, 08:26:00, 26, 13
T1_5, 08:28:00, 08:28:00, 24, 14
T1_5, 08:28:00, 08:28:00, 18, 15
T1_5, 08:30:00, 08:30:00, 19, 16
T1_6, 08:20:00, 08:20:00, 19, 1
T1_6, 08:21:00, 08:21:00, 16, 2
T1_6, 08:22:00, 08:22:00, 14, 3
T1_6, 08:24:00, 08:24:00, 12, 4
T1_6, 08:25:00, 08:25:00, 11, 5
T1_6, 08:26:00, 08:26:00, 9, 6
T1_6, 08:28:00, 08:28:00, 8, 7
T1_6, 08:29:00, 08:29:00, 7, 8
T1_6, 08:31:00, 08:31:00, 4, 9
T1_6, 08:32:00, 08:32:00, 1, 10
T1_6, 08:34:00, 08:34:00, 28, 11
T1_6, 08:35:00, 08:35:00, 27, 12
T1_6, 08:36:00, 08:36:00, 26, 13
T1_6, 08:38:00, 08:38:00, 24, 14
T1_6, 08:38:00, 08:38:00, 18, 15
T1_6, 08:40:00, 08:40:00, 19, 16
T1_7, 08:30:00, 08:30:00, 19, 1
T1_7, 08:31:00, 08:31:00, 16, 2
T1_7, 08:32:00, 08:32:00, 14, 3
T1_7, 08:34:00, 08:34:00, 12, 4
T1_7, 08:35:00, 08:35:00, 11, 5
T1_7, 08:36:00, 08:36:00, 9, 6
T1_7, 08:38:00, 08:38:00, 8, 7
T1_7, 08:39:00, 08:39:00, 7, 8
T1_7, 08:41:00, 08:41:00, 4, 9
T1_7, 08:42:00, 08:42:00, 1, 10
T1_7, 08:44:00, 08:44:00, 28, 11
T1_7, 08:45:00, 08:45:00, 27, 12
T1_7, 08:46:00, 08:46:00, 26, 13
T1_7, 08:48:00, 08:48:00, 24, 14
T1_7, 08:48:00, 08:48:00, 18, 15
T1_7, 08:50:00, 08:50:00, 19, 16
T1_8, 08:40:00, 08:40:00, 19, 1
T1_8, 08:41:00, 08:41:00, 16, 2
T1_8, 08:42:00, 08:42:00, 14, 3
T1_8, 08:44:00, 08:44:00, 12, 4
T1_8, 08:45:00, 08:45:00, 11, 5
T1_8, 08:46:00, 08:46:00, 9, 6
T1_8, 08:48:00, 08:48:00, 8, 7
T1_8, 08:49:00, 08:49:00, 7, 8
T1_8, 08:51:00, 08:51:00, 4, 9
T1_8, 08:52:00, 08:52:00, 1, 10
T1_8, 08:54:00, 08:54:00, 28, 11
T1_8, 08:55:00, 08:55:00, 27, 12
T1_8, 08:56:00, 08:56:00, 26, 13
T1_8, 08:58:00, 08:58:00, 24, 14
T1_8, 08:58:00, 08:58:00, 18, 15
T1_8, 09:00:00, 09:00:00, 19, 16
T1_9, 08:50:00, 08:50:00, 19, 1
T1_9, 08:51:00, 08:51:00, 16, 2
T1_9, 08:52:00, 08:52:00, 14, 3
T1_9, 08:54:00, 08:54:00, 12, 4
T1_9, 08:55:00, 08:55:00, 11, 5
T1_9, 08:56:00, 08:56:00, 9, 6
T1_9, 08:58:00, 08:58:00, 8, 7
T1_9, 08:59:00, 08:59:00, 7, 8
T1_9, 09:01:00, 09:01:00, 4, 9
T1_9, 09:02:00, 09:02:00, 1, 10
T1_9, 09:04:00, 09:04:00, 28, 11
T1_9, 09:05:00, 09:05:00, 27, 12
T1_9, 09:06:00, 09:06:00, 26, 13
T1_9, 09:08:00, 09:08:00, 24, 14
T1_9, 09:08:00, 09:08:00, 18, 15
T1_9, 09:10:00, 09:10:00, 19, 16
T1_10, 09:00:00, 09:00:00, 19, 1
T1_10, 09:01:00, 09:01:00, 16, 2
T1_10, 09:02:00, 09:02:00, 14, 3
T1_10, 09:04:00, 09:04:00, 12, 4
T1_10, 09:05:00, 09:05:00, 11, 5
T1_10, 09:06:00, 09:06:00, 9, 6
T1_10, 09:08:00, 09:08:00, 8, 7
T1_10, 09:09:00, 09:09:00, 7, 8
T1_10, 09:11:00, 09:11:00, 4, 9
T1_10, 09:12:00, 09:12:00, 1, 10
T1_10, 09:14:00, 09:14:00, 28, 11
T1_10, 09:15:00, 09:15:00, 27, 12
T1_10, 09:16:00, 09:16:00, 26, 13
T1_10, 09:18:00, 09:18:00, 24, 14
T1_10, 09:18:00, 09:18:00, 18, 15
T1_10, 09:20:00, 09:20:00, 19, 16
T1_11, 09:10:00, 09:10:00, 19, 1
T1_11, 09:11:00, 09:11:00, 16, 2
T1_11, 09:12:00, 09:12:00, 14, 3
T1_11, 09:14:00, 09:14:00, 12, 4
T1_11, 09:15:00, 09:15:00, 11, 5
T1_11, 09:16:00, 09:16:00, 9, 6
T1_11, 09:18:00, 09:18:00, 8, 7
T1_11, 09:19:00, 09:19:00, 7, 8
T1_11, 09:21:00, 09:21:00, 4, 9
T1_11, 09:22:00, 09:22:00, 1, 10
T1_11, 09:24:00, 09:24:00, 28, 11
T1_11, 09:25:00, 09:25:00, 27, 12
T1_11, 09:26:00, 09:26:00, 26, 13
T1_11, 09:28:00, 09:28:00, 24, 14
T1_11, 09:28:00, 09:28:00, 18, 15
T1_11, 09:30:00, 09:30:00, 19, 16
T1_12, 09:15:00, 09:15:00, 19, 1
T1_12, 09:16:00, 09:16:00, 16, 2
T1_12, 09:17:00, 09:17:00, 14, 3
T1_12, 09:19:00, 09:19:00, 12, 4
T1_12, 09:20:00, 09:20:00, 11, 5
T1_12, 09:21:00, 09:21:00, 9, 6
T1_12, 09:23:00, 09:23:00, 8, 7
T1_12, 09:24:00, 09:24:00, 7, 8
T1_12, 09:26:00, 09:26:00, 4, 9
T1_12, 09:27:00, 09:27:00, 1, 10
T1_12, 09:29:00, 09:29:00, 28, 11
T1_12, 09:30:00, 09:30:00, 27, 12
T1_12, 09:31:00, 09:31:00, 26, 13
T1_12, 09:33:00, 09:33:00, 24, 14
T1_12, 09:33:00, 09:33:00, 18, 15
T1_12, 09:35:00, 09:35:00, 19, 16
T1_13, 09:35:00, 09:35:00, 19, 1
T1_13, 09:36:00, 09:36:00, 16, 2
T1_13, 09:37:00, 09:37:00, 14, 3
T1_13, 09:39:00, 09:39:00, 12, 4
T1_13, 09:40:00, 09:40:00, 11, 5
T1_13, 09:41:00, 09:41:00, 9, 6
T1_13, 09:43:00, 09:43:00, 8, 7
T1_13, 09:44:00, 09:44:00, 7, 8
T1_13, 09:46:00, 09:46:00, 4, 9
T1_13, 09:47:00, 09:47:00, 1, 10
T1_13, 09:49:00, 09:49:00, 28, 11
T1_13, 09:50:00, 09:50:00, 27, 12
T1_13, 09:51:00, 09:51:00, 26, 13
T1_13, 09:53:00, 09:53:00, 24, 14
T1_13, 09:53:00, 09:53:00, 18, 15
T1_13, 09:55:00, 09:55:00, 19, 16
T1_14, 09:40:00, 09:40:00, 19, 1
T1_14, 09:41:00, 09:41:00, 16, 2
T1_14, 09:42:00, 09:42:00, 14, 3
T1_14, 09:44:00, 09:44:00, 12, 4
T1_14, 09:45:00, 09:45:00, 11, 5
T1_14, 09:46:00, 09:46:00, 9, 6
T1_14, 09:48:00, 09:48:00, 8, 7
T1_14, 09:49:00, 09:49:00, 7, 8
T1_14, 09:51:00, 09:51:00, 4, 9
T1_14, 09:52:00, 09:52:00, 1, 10
T1_14, 09:54:00, 09:54:00, 28, 11
T1_14, 09:55:00, 09:55:00, 27, 12
T1_14, 09:56:00, 09:56:00, 26, 13
T1_14, 09:58:00, 09:58:00, 24, 14
T1_14, 09:58:00, 09:58:00, 18, 15
T1_14, 10:00:00, 10:00:00, 19, 16
T1_15, 09:45:00, 09:45:00, 19, 1
T1_15, 09:46:00, 09:46:00, 16, 2
T1_15, 09:47:00, 09:47:00, 14, 3
T1_15, 09:49:00, 09:49:00, 12, 4
T1_15, 09:50:00, 09:50:00, 11, 5
T1_15, 09:51:00, 09:51:00, 9, 6
T1_15, 09:53:00, 09:53:00, 8, 7
T1_15, 09:54:00, 09:54:00, 7, 8
T1_15, 09:56:00, 09:56:00, 4, 9
T1_15, 09:57:00, 09:57:00, 1, 10
T1_15, 09:59:00, 09:59:00, 28, 11
T1_15, 10:00:00, 10:00:00, 27, 12
T1_15, 10:01:00, 10:01:00, 26, 13
T1_15, 10:03:00, 10:03:00, 24, 14
T1_15, 10:03:00, 10:03:00, 18, 15
T1_15, 10:05:00, 10:05:00, 19, 16
T1_16, 09:55:00, 09:55:00, 19, 1
T1_16, 09:56:00, 09:56:00, 16, 2
T1_16, 09:57:00, 09:57:00, 14, 3
T1_16, 09:59:00, 09:59:00, 12, 4
T1_16, 10:00:00, 10:00:00, 11, 5
T1_16, 10:01:00, 10:01:00, 9, 6
T1_16, 10:03:00, 10:03:00, 8, 7
T1_16, 10:04:00, 10:04:00, 7, 8
T1_16, 10:06:00, 10:06:00, 4, 9
T1_16, 10:07:00, 10:07:00, 1, 10
T1_16, 10:09:00, 10:09:00, 28, 11
T1_16, 10:10:00, 10:10:00, 27, 12
T1_16, 10:11:00, 10:11:00, 26, 13
T1_16, 10:13:00, 10:13:00, 24, 14
T1_16, 10:13:00, 10:13:00, 18, 15
T1_16, 10:15:00, 10:15:00, 19, 16
T1_17, 10:05:00, 10:05:00, 19, 1
T1_17, 10:06:00, 10:06:00, 16, 2
T1_17, 10:07:00, 10:07:00, 14, 3
T1_17, 10:09:00, 10:09:00, 12, 4
T1_17, 10:10:00, 10:10:00, 11, 5
T1_17, 10:11:00, 10:11:00, 9, 6
T1_17, 10:13:00, 10:13:00, 8, 7
T1_17, 10:14:00, 10:14:00, 7, 8
T1_17, 10:16:00, 10:16:00, 4, 9
T1_17, 10:17:00, 10:17:00, 1, 10
T1_17, 10:19:00, 10:19:00, 28, 11
T1_17, 10:20:00, 10:20:00, 27, 12
T1_17, 10:21:00, 10:21:00, 26, 13
T1_17, 10:23:00, 10:23:00, 24, 14
T1_17, 10:23:00, 10:23:00, 18, 15
T1_17, 10:25:00, 10:25:00, 19, 16
T1_18, 10:15:00, 10:15:00, 19, 1
T1_18, 10:16:00, 10:16:00, 16, 2
T1_18, 10:17:00, 10:17:00, 14, 3
T1_18, 10:19:00, 10:19:00, 12, 4
T1_18, 10:20:00, 10:20:00, 11, 5
T1_18, 10:21:00, 10:21:00, 9, 6
T1_18, 10:23:00, 10:23:00, 8, 7
T1_18, 10:24:00, 10:24:00, 7, 8
T1_18, 10:26:00, 10:26:00, 4, 9
T1_18, 10:27:00, 10:27:00, 1, 10
T1_18, 10:29:00, 10:29:00, 28, 11
T1_18, 10:30:00, 10:30:00, 27, 12
T1_18, 10:31:00, 10:31:00, 26, 13
T1_18, 10:33:00, 10:33:00, 24, 14
T1_18, 10:33:00, 10:33:00, 18, 15
T1_18, 10:35:00, 10:35:00, 19, 16
T1_19, 10:20:00, 10:20:00, 19, 1
T1_19, 10:21:00, 10:21:00, 16, 2
T1_19, 10:22:00, 10:22:00, 14, 3
T1_19, 10:24:00, 10:24:00, 12, 4
T1_19, 10:25:00, 10:25:00, 11, 5
T1_19, 10:26:00, 10:26:00, 9, 6
T1_19, 10:28:00, 10:28:00, 8, 7
T1_19, 10:29:00, 10:29:00, 7, 8
T1_19, 10:31:00, 10:31:00, 4, 9
T1_19, 10:32:00, 10:32:00, 1, 10
T1_19, 10:34:00, 10:34:00, 28, 11
T1_19, 10:35:00, 10:35:00, 27, 12
T1_19, 10:36:00, 10:36:00, 26, 13
T1_19, 10:38:00, 10:38:00, 24, 14
T1_19, 10:38:00, 10:38:00, 18, 15
T1_19, 10:40:00, 10:40:00, 19, 16
T1_20, 10:25:00, 10:25:00, 19, 1
T1_20, 10:26:00, 10:26:00, 16, 2
T1_20, 10:27:00, 10:27:00, 14, 3
T1_20, 10:29:00, 10:29:00, 12, 4
T1_20, 10:30:00, 10:30:00, 11, 5
T1_20, 10:31:00, 10:31:00, 9, 6
T1_20, 10:33:00, 10:33:00, 8, 7
T1_20, 10:34:00, 10:34:00, 7, 8
T1_20, 10:36:00, 10:36:00, 4, 9
T1_20, 10:37:00, 10:37:00, 1, 10
T1_20, 10:39:00, 10:39:00, 28, 11
T1_20, 10:40:00, 10:40:00, 27, 12
T1_20, 10:41:00, 10:41:00, 26, 13
T1_20, 10:43:00, 10:43:00, 24, 14
T1_20, 10:43:00, 10:43:00, 18, 15
T1_20, 10:45:00, 10:45:00, 19, 16
T1_21, 10:45:00, 10:45:00, 19, 1
T1_21, 10:46:00, 10:46:00, 16, 2
T1_21, 10:47:00, 10:47:00, 14, 3
T1_21, 10:49:00, 10:49:00, 12, 4
T1_21, 10:50:00, 10:50:00, 11, 5
T1_21, 10:51:00, 10:51:00, 9, 6
T1_21, 10:53:00, 10:53:00, 8, 7
T1_21, 10:54:00, 10:54:00, 7, 8
T1_21, 10:56:00, 10:56:00, 4, 9
T1_21, 10:57:00, 10:57:00, 1, 10
T1_21, 10:59:00, 10:59:00, 28, 11
T1_21, 11:00:00, 11:00:00, 27, 12
T1_21, 11:01:00, 11:01:00, 26, 13
T1_21, 11:03:00, 11:03:00, 24, 14
T1_21, 11:03:00, 11:03:00, 18, 15
T1_21, 11:05:00, 11:05:00, 19, 16
T1_22, 11:05:00, 11:05:00, 19, 1
T1_22, 11:06:00, 11:06:00, 16, 2
T1_22, 11:07:00, 11:07:00, 14, 3
T1_22, 11:09:00, 11:09:00, 12, 4
T1_22, 11:10:00, 11:10:00, 11, 5
T1_22, 11:11:00, 11:11:00, 9, 6
T1_22, 11:13:00, 11:13:00, 8, 7
T1_22, 11:14:00, 11:14:00, 7, 8
T1_22, 11:16:00, 11:16:00, 4, 9
T1_22, 11:17:00, 11:17:00, 1, 10
T1_22, 11:19:00, 11:19:00, 28, 11
T1_22, 11:20:00, 11:20:00, 27, 12
T1_22, 11:21:00, 11:21:00, 26, 13
T1_22, 11:23:00, 11:23:00, 24, 14
T1_22, 11:23:00, 11:23:00, 18, 15
T1_22, 11:25:00, 11:25:00, 19, 16
T1_23, 11:15:00, 11:15:00, 19, 1
T1_23, 11:16:00, 11:16:00, 16, 2
T1_23, 11:17:00, 11:17:00, 14, 3
T1_23, 11:19:00, 11:19:00, 12, 4
T1_23, 11:20:00, 11:20:00, 11, 5
T1_23, 11:21:00, 11:21:00, 9, 6
T1_23, 11:23:00, 11:23:00, 8, 7
T1_23, 11:24:00, 11:24:00, 7, 8
T1_23, 11:26:00, 11:26:00, 4, 9
T1_23, 11:27:00, 11:27:00, 1, 10
T1_23, 11:29:00, 11:29:00, 28, 11
T1_23, 11:30:00, 11:30:00, 27, 12
T1_23, 11:31:00, 11:31:00, 26, 13
T1_23, 11:33:00, 11:33:00, 24, 14
T1_23, 11:33:00, 11:33:00, 18, 15
T1_23, 11:35:00, 11:35:00, 19, 16
T1_24, 11:25:00, 11:25:00, 19, 1
T1_24, 11:26:00, 11:26:00, 16, 2
T1_24, 11:27:00, 11:27:00, 14, 3
T1_24, 11:29:00, 11:29:00, 12, 4
T1_24, 11:30:00, 11:30:00, 11, 5
T1_24, 11:31:00, 11:31:00, 9, 6
T1_24, 11:33:00, 11:33:00, 8, 7
T1_24, 11:34:00, 11:34:00, 7, 8
T1_24, 11:36:00, 11:36:00, 4, 9
T1_24, 11:37:00, 11:37:00, 1, 10
T1_24, 11:39:00, 11:39:00, 28, 11
T1_24, 11:40:00, 11:40:00, 27, 12
T1_24, 11:41:00, 11:41:00, 26, 13
T1_24, 11:43:00, 11:43:00, 24, 14
T1_24, 11:43:00, 11:43:00, 18, 15
T1_24, 11:45:00, 11:45:00, 19, 16
T1_25, 11:30:00, 11:30:00, 19, 1
T1_25, 11:31:00, 11:31:00, 16, 2
T1_25, 11:32:00, 11:32:00, 14, 3
T1_25, 11:34:00, 11:34:00, 12, 4
T1_25, 11:35:00, 11:35:00, 11, 5
T1_25, 11:36:00, 11:36:00, 9, 6
T1_25, 11:38:00, 11:38:00, 8, 7
T1_25, 11:39:00, 11:39:00, 7, 8
T1_25, 11:41:00, 11:41:00, 4, 9
T1_25, 11:42:00, 11:42:00, 1, 10
T1_25, 11:44:00, 11:44:00, 28, 11
T1_25, 11:45:00, 11:45:00, 27, 12
T1_25, 11:46:00, 11:46:00, 26, 13
T1_25, 11:48:00, 11:48:00, 24, 14
T1_25, 11:48:00, 11:48:00, 18, 15
T1_25, 11:50:00, 11:50:00, 19, 16
T1_26, 11:35:00, 11:35:00, 19, 1
